step,t,atom_id,mol_id,x,y,z,vx,vy,syy,xlo,xhi,ylo,yhi,zlo,zhi
404,101.0,4283,86.0,-5.51177,-5.11073,-3.75051,-3.36992,-1.63994,-31.6003,-10.158,10.158,-7.967,7.967,-4.53,4.53
405,101.25,4283,86.0,-5.44206,-5.27453,-3.77902,5.49489,0.926076,10.1361,-10.252,10.252,-7.943,7.943,-4.55,4.55
406,101.5,4283,86.0,-5.33833,-5.18782,-3.55843,6.75549,2.80935,-11.8345,-10.347,10.347,-7.92,7.92,-4.571,4.571
407,101.75,4283,86.0,-5.72114,-5.27746,-3.87515,-2.95301,-2.26051,-14.1823,-10.441,10.441,-7.896,7.896,-4.594,4.594
408,102.0,4283,86.0,-5.59816,-5.16462,-3.89471,2.6619,3.13241,22.3991,-10.536,10.536,-7.872,7.872,-4.587,4.587
409,102.25,4283,86.0,-5.27811,-5.1575,-3.82225,-1.65815,1.01735,7.2405,-10.63,10.63,-7.848,7.848,-4.573,4.573
410,102.5,4283,86.0,-5.38289,-5.08149,-3.90219,2.58572,0.674803,34.2313,-10.725,10.725,-7.823,7.823,-4.559,4.559
411,102.75,4283,86.0,-5.39148,-4.96445,-3.90643,-2.0187,7.7373,-15.9646,-10.819,10.819,-7.799,7.799,-4.55,4.55
412,103.0,4283,86.0,-5.10941,-4.62526,-3.77423,3.36904,-1.61272,14.3976,-10.914,10.914,-7.774,7.774,-4.553,4.553
413,103.25,4283,86.0,-5.64005,-4.60673,-3.50634,-3.89816,0.929768,-31.0853,-11.009,11.009,-7.749,7.749,-4.551,4.551
414,103.5,4283,86.0,-6.04605,-4.40429,-3.11334,0.592749,1.59921,136.096,-11.104,11.104,-7.725,7.725,-4.545,4.545
415,103.75,4283,86.0,-5.82596,-4.17469,-3.01368,-3.18849,-2.52565,-168.511,-11.198,11.198,-7.699,7.699,-4.541,4.541
416,104.0,4283,86.0,-5.69615,-4.29881,-3.07356,-0.554009,8.25099,218.726,-11.293,11.293,-7.674,7.674,-4.538,4.538
417,104.25,4283,86.0,-5.64595,-4.05705,-3.08226,-3.31598,0.426371,-268.358,-11.388,11.388,-7.649,7.649,-4.538,4.538
418,104.5,4283,86.0,-5.73833,-3.90001,-3.04763,2.59691,5.03514,123.817,-11.483,11.483,-7.623,7.623,-4.56,4.56
419,104.75,4283,86.0,-5.70602,-4.09098,-2.97322,0.550945,-2.48795,-102.885,-11.578,11.578,-7.598,7.598,-4.561,4.561
420,105.0,4283,86.0,-5.66799,-3.85937,-2.70777,1.44725,1.78604,153.929,-11.674,11.674,-7.572,7.572,-4.553,4.553
421,105.25,3557,72.0,-6.77036,-7.50925,-4.23609,2.39886,3.07944,24.8419,-11.769,11.769,-7.546,7.546,-4.526,4.526
422,105.5,1765,36.0,-6.85145,-5.56579,-2.60681,-1.84618,2.76235,-6.46724,-11.864,11.864,-7.52,7.52,-4.504,4.504
423,105.75,1765,36.0,-6.91316,-5.42583,-2.48175,7.89943,-0.80716,-22.9202,-11.959,11.959,-7.494,7.494,-4.504,4.504
424,106.0,1765,36.0,-6.9547,-5.32407,-2.60474,0.588274,3.42065,-16.3913,-12.055,12.055,-7.468,7.468,-4.53,4.53
425,106.25,1765,36.0,-6.73411,-5.1168,-2.29758,-1.6819,1.21475,84.497,-12.15,12.15,-7.442,7.442,-4.572,4.572
426,106.5,3026,61.0,-6.98608,-5.93267,-4.41822,-1.48583,-0.00330178,88.977,-12.246,12.246,-7.415,7.415,-4.601,4.601
427,106.75,3026,61.0,-6.62652,-5.54367,-4.5203,1.59341,1.4993,18.5621,-12.342,12.342,-7.389,7.389,-4.61,4.61
428,107.0,773,16.0,-4.57675,-4.13939,-3.77456,3.18507,-4.03349,-39.4808,-12.438,12.438,-7.362,7.362,-4.611,4.611
429,107.25,773,16.0,-4.72151,-4.08209,-3.7516,1.66599,-3.02156,-14.9004,-12.533,12.533,-7.336,7.336,-4.613,4.613
430,107.5,773,16.0,-4.37615,-4.19927,-3.51505,8.65108,4.30324,37.1482,-12.629,12.629,-7.309,7.309,-4.613,4.613
431,107.75,773,16.0,-4.44987,-4.48832,-3.35344,-5.78584,1.55999,33.2978,-12.725,12.725,-7.282,7.282,-4.606,4.606
432,108.0,773,16.0,-4.24901,-4.30156,-3.3452,5.93074,5.3594,37.8829,-12.822,12.822,-7.255,7.255,-4.595,4.595
433,108.25,773,16.0,-4.18905,-4.17837,-3.12351,1.23975,0.13212,-21.341,-12.918,12.918,-7.229,7.229,-4.568,4.568
434,108.5,773,16.0,-4.62762,-4.10817,-2.95075,-0.117151,3.07219,13.5374,-13.014,13.014,-7.202,7.202,-4.549,4.549
435,108.75,773,16.0,-4.41081,-4.16286,-2.96343,-1.93535,-1.47394,-16.2777,-13.111,13.111,-7.175,7.175,-4.539,4.539
436,109.0,773,16.0,-4.69571,-4.14582,-3.01058,-5.04662,3.23633,-13.1466,-13.207,13.207,-7.148,7.148,-4.54,4.54
437,109.25,773,16.0,-4.67353,-3.93007,-2.92509,0.0731056,4.73156,-1.80448,-13.304,13.304,-7.12,7.12,-4.549,4.549
438,109.5,773,16.0,-4.8363,-3.64334,-2.91836,-1.86664,-5.29669,-75.2912,-13.401,13.401,-7.093,7.093,-4.558,4.558
439,109.75,773,16.0,-5.04604,-3.9468,-2.78795,-0.330173,-2.16861,47.3785,-13.498,13.498,-7.066,7.066,-4.568,4.568
440,110.0,773,16.0,-5.22593,-3.75107,-2.69837,-1.24846,2.31167,8.54254,-13.595,13.595,-7.039,7.039,-4.594,4.594
441,110.25,773,16.0,-5.45811,-3.59385,-2.62634,-6.18809,1.03866,-39.1891,-13.692,13.692,-7.012,7.012,-4.651,4.651
442,110.5,265,6.0,-4.93009,-5.24605,-2.80655,0.525341,-1.57163,9.24869,-13.79,13.79,-6.984,6.984,-4.69,4.69
443,110.75,265,6.0,-5.21435,-5.17723,-2.67368,-1.92956,-3.11879,2.46335,-13.887,13.887,-6.957,6.957,-4.7,4.7
444,111.0,265,6.0,-5.19299,-5.04632,-2.78837,0.356557,0.257105,-5.55773,-13.985,13.985,-6.93,6.93,-4.687,4.687
445,111.25,265,6.0,-5.16111,-5.14417,-2.62943,-1.21904,2.18521,-42.3769,-14.083,14.083,-6.902,6.902,-4.68,4.68
446,111.5,265,6.0,-5.33437,-4.92689,-2.91103,1.05169,1.64808,6.73707,-14.181,14.181,-6.875,6.875,-4.67,4.67
447,111.75,265,6.0,-5.28849,-4.8505,-2.6214,3.92665,0.811583,-7.85689,-14.279,14.279,-6.847,6.847,-4.649,4.649
448,112.0,265,6.0,-5.12111,-4.92884,-2.4289,-0.829084,6.26972,7.80567,-14.377,14.377,-6.82,6.82,-4.637,4.637
449,112.25,265,6.0,-5.23209,-5.04826,-2.60265,-2.80236,1.70248,-9.21763,-14.475,14.475,-6.792,6.792,-4.612,4.612
450,112.5,265,6.0,-4.92429,-4.97198,-2.5461,0.0955037,-3.19011,-4.21821,-14.574,14.574,-6.765,6.765,-4.581,4.581
451,112.75,265,6.0,-5.16112,-4.94892,-2.7337,-2.83312,1.30717,30.691,-14.673,14.673,-6.738,6.738,-4.558,4.558
452,113.0,265,6.0,-5.43799,-5.07361,-2.65423,1.37318,1.842,-7.67278,-14.772,14.772,-6.71,6.71,-4.541,4.541
453,113.25,265,6.0,-5.26378,-4.74272,-2.67069,1.36316,4.54934,14.5372,-14.871,14.871,-6.683,6.683,-4.551,4.551
454,113.5,265,6.0,-5.2143,-4.38175,-2.687,-4.71629,4.03153,21.4688,-14.97,14.97,-6.655,6.655,-4.557,4.557
455,113.75,265,6.0,-5.0955,-4.27468,-2.36635,-2.63334,-2.24305,-54.9018,-15.07,15.07,-6.628,6.628,-4.562,4.562
456,114.0,265,6.0,-5.25887,-4.32776,-2.43709,-2.60317,-2.08682,-32.3725,-15.169,15.169,-6.6,6.6,-4.551,4.551
457,114.25,265,6.0,-5.41689,-4.18467,-2.75292,-1.03412,-1.35629,-54.7037,-15.269,15.269,-6.573,6.573,-4.542,4.542
458,114.5,265,6.0,-5.45424,-4.13508,-2.48327,-0.734477,-1.19748,11.8595,-15.369,15.369,-6.546,6.546,-4.548,4.548
459,114.75,265,6.0,-5.2588,-4.18746,-2.35273,0.927564,3.51055,71.8251,-15.469,15.469,-6.518,6.518,-4.574,4.574
460,115.0,4298,86.0,-5.35483,-4.67907,-4.08283,-3.47512,-0.282908,1.97359,-15.57,15.57,-6.491,6.491,-4.598,4.598
461,115.25,4298,86.0,-5.27582,-4.2581,-4.10422,-5.1462,-4.83013,-36.536,-15.67,15.67,-6.463,6.463,-4.621,4.621
462,115.5,4298,86.0,-5.66376,-4.10058,-4.01457,-4.04171,-1.35346,-37.5751,-15.771,15.771,-6.436,6.436,-4.629,4.629
463,115.75,4298,86.0,-5.6119,-3.80146,-4.25046,1.57057,-1.03463,64.4505,-15.872,15.872,-6.409,6.409,-4.646,4.646
464,116.0,4298,86.0,-6.23435,-3.70228,-4.08593,-3.83583,-4.00961,134.534,-15.974,15.974,-6.382,6.382,-4.663,4.663
465,116.25,4298,86.0,-6.42801,-3.38661,-4.02789,0.192057,-7.16645,13.0756,-16.075,16.075,-6.354,6.354,-4.67,4.67
466,116.5,4298,86.0,-6.33288,-3.68975,-3.67273,-6.34463,-3.20279,14.6024,-16.177,16.177,-6.327,6.327,-4.666,4.666
467,116.75,4298,86.0,-6.00548,-3.1455,-3.4725,1.54411,11.1117,-71.5352,-16.279,16.279,-6.3,6.3,-4.648,4.648
468,117.0,4230,85.0,-1.20177,-5.46839,-3.48106,1.90601,-1.4494,-13.8153,-16.381,16.381,-6.273,6.273,-4.621,4.621
469,117.25,4230,85.0,-1.44269,-5.38902,-3.41395,3.64915,-2.39439,52.8765,-16.483,16.483,-6.246,6.246,-4.591,4.591
470,117.5,4230,85.0,-1.32517,-5.20333,-3.45902,-3.97988,4.66874,-153.894,-16.586,16.586,-6.219,6.219,-4.578,4.578
471,117.75,2725,55.0,-8.38302,-3.17632,-2.84396,1.01081,-1.31227,61.7473,-16.689,16.689,-6.192,6.192,-4.569,4.569
472,118.0,2747,55.0,-4.93533,-4.01618,-4.51256,-1.10723,1.57288,-12.3851,-16.792,16.792,-6.165,6.165,-4.566,4.566
473,118.25,455,10.0,-2.78013,-6.24955,-3.13374,4.8634,-3.8349,-7.23432,-16.896,16.896,-6.138,6.138,-4.567,4.567
474,118.5,2705,55.0,-5.06207,-5.85419,-4.46597,1.56915,-1.59438,76.2621,-16.999,16.999,-6.111,6.111,-4.583,4.583
475,118.75,1675,34.0,-2.12823,-4.09907,-3.60543,-5.12335,0.607413,-110.81,-17.103,17.103,-6.084,6.084,-4.614,4.614
476,119.0,3026,61.0,-8.32708,-3.2212,-4.16392,-4.37274,2.70985,-24.5236,-17.208,17.208,-6.057,6.057,-4.638,4.638
477,119.25,3026,61.0,-8.2254,-3.39365,-4.33759,2.82638,-0.627793,-70.0844,-17.312,17.312,-6.03,6.03,-4.647,4.647
478,119.5,3026,61.0,-8.44713,-3.11053,-4.23237,-8.8601,-0.468106,120.645,-17.417,17.417,-6.004,6.004,-4.649,4.649
479,119.75,3559,72.0,-6.46172,-5.24899,-3.95416,-1.95866,2.81809,19.0275,-17.522,17.522,-5.977,5.977,-4.643,4.643
480,120.0,3559,72.0,-6.51316,-5.29832,-4.09353,1.38629,-2.299,20.0652,-17.628,17.628,-5.951,5.951,-4.629,4.629
481,120.25,3559,72.0,-6.21191,-5.31008,-4.0139,2.61048,-4.73789,-46.9694,-17.733,17.733,-5.924,5.924,-4.614,4.614
482,120.5,3040,61.0,-5.6108,-4.89503,-2.66523,-1.27493,0.294558,-24.4429,-17.839,17.839,-5.898,5.898,-4.599,4.599
483,120.75,3040,61.0,-5.64457,-4.91043,-3.12108,-0.101838,-1.49023,12.7198,-17.945,17.945,-5.871,5.871,-4.592,4.592
484,121.0,3040,61.0,-5.69972,-4.51668,-2.97359,3.68597,2.87675,47.3554,-18.052,18.052,-5.845,5.845,-4.587,4.587
485,121.25,3040,61.0,-5.88305,-4.73287,-2.91661,-3.10592,4.44094,56.0884,-18.159,18.159,-5.819,5.819,-4.583,4.583
486,121.5,3040,61.0,-6.05773,-4.7419,-2.76514,-0.399743,0.881694,-46.2037,-18.266,18.266,-5.792,5.792,-4.576,4.576
487,121.75,3040,61.0,-6.2897,-4.79583,-2.79066,-0.902339,3.16717,5.5206,-18.374,18.374,-5.766,5.766,-4.578,4.578
488,122.0,3040,61.0,-6.53581,-4.54009,-2.53658,0.282807,2.98601,91.6861,-18.481,18.481,-5.74,5.74,-4.588,4.588
489,122.25,3040,61.0,-6.62531,-4.62893,-2.76704,-1.46929,1.23722,-10.2862,-18.589,18.589,-5.714,5.714,-4.605,4.605
490,122.5,3040,61.0,-6.72412,-4.47273,-2.82328,-1.2676,0.129863,13.636,-18.698,18.698,-5.688,5.688,-4.618,4.618
491,122.75,3040,61.0,-7.00522,-4.63776,-2.94452,-5.81152,1.88235,-6.2035,-18.807,18.807,-5.662,5.662,-4.654,4.654
492,123.0,3040,61.0,-6.85595,-4.57645,-3.01223,5.32811,-0.703119,-27.4692,-18.916,18.916,-5.637,5.637,-4.671,4.671
493,123.25,3032,61.0,-7.96429,-3.65076,-4.66011,2.62175,1.90159,13.9257,-19.025,19.025,-5.611,5.611,-4.672,4.672
494,123.5,2730,55.0,-6.86901,-2.9316,-4.65299,-1.22946,-2.91053,9.22803,-19.135,19.135,-5.585,5.585,-4.657,4.657
495,123.75,1671,34.0,-1.21291,-4.39566,-3.15579,0.799257,3.77767,28.4715,-19.245,19.245,-5.56,5.56,-4.623,4.623
496,124.0,4140,83.0,-1.41249,-5.34499,-2.37769,2.94305,-0.886042,19.6984,-19.356,19.356,-5.534,5.534,-4.595,4.595
497,124.25,1673,34.0,-1.93491,-3.73037,-3.08662,1.77244,4.33754,8.8165,-19.467,19.467,-5.509,5.509,-4.585,4.585
498,124.5,3791,76.0,-5.31588,-2.75629,-2.40663,-1.95963,-0.36852,-32.2702,-19.578,19.578,-5.483,5.483,-4.584,4.584
499,124.75,3791,76.0,-5.1104,-3.13083,-2.62777,-0.636994,-2.40583,3.3852,-19.69,19.69,-5.458,5.458,-4.587,4.587
500,125.0,3791,76.0,-5.15874,-3.22127,-2.53227,-7.84141,-1.72221,5.66971,-19.802,19.802,-5.433,5.433,-4.6,4.6
501,125.25,3791,76.0,-5.44079,-3.00773,-2.36446,-1.52041,-0.721068,-27.7483,-19.914,19.914,-5.408,5.408,-4.61,4.61
502,125.5,764,16.0,-3.6354,-3.16726,-2.36134,-2.77664,-0.252111,3.75751,-20.027,20.027,-5.383,5.383,-4.62,4.62
503,125.75,4228,85.0,0.105424,-5.17528,-2.73395,3.50837,0.0953835,39.0867,-20.14,20.14,-5.358,5.358,-4.629,4.629
504,126.0,1669,34.0,-0.444104,-4.79684,-4.01288,-7.26351,-2.22149,57.2077,-20.253,20.253,-5.333,5.333,-4.628,4.628
505,126.25,4246,85.0,-3.77436,-4.17109,-4.51032,0.85745,-1.85232,-83.4945,-20.367,20.367,-5.308,5.308,-4.614,4.614
506,126.5,4246,85.0,-4.12386,-3.91547,-4.46182,-1.54004,-5.09758,65.4471,-20.482,20.482,-5.283,5.283,-4.602,4.602
507,126.75,4246,85.0,-4.18652,-3.97708,-4.26595,1.42189,1.53239,63.4689,-20.596,20.596,-5.259,5.259,-4.594,4.594
508,127.0,4246,85.0,-4.10495,-3.79694,-3.74555,-4.43044,-2.51265,-23.1132,-20.712,20.712,-5.234,5.234,-4.583,4.583
509,127.25,4246,85.0,-4.0952,-3.42698,-3.85168,-1.54611,-0.771851,-74.7218,-20.827,20.827,-5.21,5.21,-4.583,4.583
510,127.5,4246,85.0,-3.66421,-2.97862,-3.59231,4.38258,1.00398,8.01855,-20.943,20.943,-5.185,5.185,-4.581,4.581
511,127.75,4246,85.0,-3.18545,-3.5017,-3.70958,-0.861307,-0.0912277,-35.7582,-21.059,21.059,-5.161,5.161,-4.591,4.591
512,128.0,4246,85.0,-3.23777,-3.52757,-4.0566,-1.48797,-0.0434107,1.63022,-21.176,21.176,-5.137,5.137,-4.634,4.634
513,128.25,4246,85.0,-2.82359,-3.31263,-4.57857,-3.95229,1.18462,30.2916,-21.293,21.293,-5.113,5.113,-4.664,4.664
514,128.5,4246,85.0,-3.13263,-3.35619,-4.08971,3.53387,-0.263328,-51.9533,-21.411,21.411,-5.089,5.089,-4.663,4.663
515,128.75,4246,85.0,-2.76979,-3.52877,-3.98382,-1.91213,1.37141,65.7895,-21.529,21.529,-5.065,5.065,-4.651,4.651
516,129.0,4246,85.0,-2.56901,-3.90034,-3.87974,2.47815,3.90772,-77.5141,-21.648,21.648,-5.041,5.041,-4.654,4.654
517,129.25,4246,85.0,-2.61011,-4.07856,-3.96394,-2.06534,1.79305,-12.4935,-21.767,21.767,-5.017,5.017,-4.662,4.662
518,129.5,4246,85.0,-2.73331,-3.90353,-3.87773,-1.8974,7.76744,31.0533,-21.886,21.886,-4.993,4.993,-4.658,4.658
519,129.75,4246,85.0,-2.63056,-3.75485,-3.62238,3.60345,0.579213,26.7713,-22.006,22.006,-4.97,4.97,-4.644,4.644
520,130.0,4246,85.0,-2.60401,-3.76973,-3.40576,5.52324,3.89998,-24.5117,-22.126,22.126,-4.946,4.946,-4.636,4.636
521,130.25,4246,85.0,-2.73338,-3.78184,-3.48345,-0.00944527,0.662949,-9.60302,-22.247,22.247,-4.923,4.923,-4.635,4.635
522,130.5,4246,85.0,-3.13083,-3.9609,-3.116,-2.55541,-0.897594,-34.1992,-22.368,22.368,-4.899,4.899,-4.64,4.64
523,130.75,4246,85.0,-3.44231,-3.69854,-2.8014,4.0753,-2.00088,30.0819,-22.49,22.49,-4.876,4.876,-4.651,4.651
524,131.0,4246,85.0,-3.22832,-3.79885,-3.14975,-4.50275,0.732056,-2.81206,-22.612,22.612,-4.853,4.853,-4.663,4.663
525,131.25,4246,85.0,-3.35728,-3.9988,-3.22444,4.2584,-1.70197,23.0703,-22.735,22.735,-4.83,4.83,-4.667,4.667
526,131.5,4246,85.0,-3.36255,-4.12796,-3.27333,-1.36143,0.292244,-23.0992,-22.858,22.858,-4.807,4.807,-4.652,4.652
527,131.75,4246,85.0,-3.30792,-4.23568,-3.67747,0.767185,0.652892,41.9062,-22.981,22.981,-4.784,4.784,-4.634,4.634
528,132.0,4246,85.0,-3.35085,-4.52566,-3.97561,-2.73667,-3.4523,-5.60284,-23.106,23.106,-4.761,4.761,-4.615,4.615
529,132.25,1684,34.0,-3.4629,-2.86283,-4.19786,4.83933,-3.78969,-15.896,-23.23,23.23,-4.738,4.738,-4.597,4.597
530,132.5,1684,34.0,-3.40497,-3.0033,-4.35606,2.48756,2.4158,-9.84166,-23.355,23.355,-4.715,4.715,-4.576,4.576
531,132.75,1684,34.0,-3.50161,-3.26976,-4.4425,2.63308,-4.86865,13.9366,-23.481,23.481,-4.693,4.693,-4.57,4.57
532,133.0,4227,85.0,0.603674,-4.61131,-2.85963,0.147386,-2.29005,-15.473,-23.607,23.607,-4.67,4.67,-4.58,4.58
533,133.25,4227,85.0,0.607596,-4.53124,-2.69812,3.93238,-2.88896,26.6797,-23.734,23.734,-4.648,4.648,-4.598,4.598
534,133.5,4227,85.0,0.822157,-4.48481,-2.61424,1.98701,-2.79464,21.5136,-23.861,23.861,-4.626,4.626,-4.628,4.628
535,133.75,4231,85.0,-0.398653,-4.50405,-2.69751,-1.72276,-1.96895,1.7731,-23.988,23.988,-4.604,4.604,-4.654,4.654
536,134.0,4231,85.0,-0.304044,-4.50176,-2.98243,2.32591,-1.21242,3.92921,-24.117,24.117,-4.581,4.581,-4.667,4.667
537,134.25,1681,34.0,-2.14867,-3.40313,-4.4393,-1.16438,3.15842,41.9754,-24.245,24.245,-4.559,4.559,-4.67,4.67
538,134.5,1681,34.0,-2.2505,-3.3329,-4.27406,-3.46083,0.899715,12.9959,-24.375,24.375,-4.538,4.538,-4.678,4.678
539,134.75,1681,34.0,-2.29278,-3.24452,-3.95301,3.84112,3.51754,-52.4269,-24.504,24.504,-4.516,4.516,-4.659,4.659
540,135.0,1681,34.0,-2.44818,-3.21599,-4.1113,-3.53608,-1.14175,5.33878,-24.635,24.635,-4.494,4.494,-4.629,4.629
541,135.25,1681,34.0,-2.33204,-3.31303,-4.37615,-0.896497,3.0244,-48.3458,-24.766,24.766,-4.472,4.472,-4.628,4.628
542,135.5,1677,34.0,-1.36124,-3.217,-4.46076,-3.37107,0.764378,-69.2723,-24.897,24.897,-4.451,4.451,-4.624,4.624
543,135.75,1677,34.0,-1.39064,-3.17002,-4.48919,1.51592,-1.01616,25.6234,-25.029,25.029,-4.429,4.429,-4.613,4.613
544,136.0,1677,34.0,-1.51023,-3.31443,-4.1968,-0.518075,-5.27041,-11.7524,-25.162,25.162,-4.408,4.408,-4.607,4.607
545,136.25,2720,55.0,-9.01088,-3.22731,-2.70132,4.38386,-0.610778,2.42262,-25.295,25.295,-4.386,4.386,-4.616,4.616
546,136.5,2720,55.0,-8.91518,-2.98278,-2.80263,-0.723968,-1.32275,123.725,-25.428,25.428,-4.365,4.365,-4.625,4.625
547,136.75,2720,55.0,-9.17655,-2.39545,-2.8928,1.62227,3.3666,-117.79,-25.562,25.562,-4.344,4.344,-4.622,4.622
548,137.0,2720,55.0,-9.3341,-2.35113,-2.92673,-0.147205,1.03034,-108.576,-25.697,25.697,-4.323,4.323,-4.618,4.618
549,137.25,1648,33.0,-5.38708,-4.14658,-4.35946,-1.66942,-1.55339,9.24359,-25.833,25.833,-4.302,4.302,-4.619,4.619
550,137.5,1648,33.0,-5.37066,-4.03562,-4.30891,2.72469,1.0115,31.5721,-25.969,25.969,-4.281,4.281,-4.62,4.62
551,137.75,753,16.0,-5.81859,-2.64237,-2.37046,-0.581393,-8.21145,-46.6349,-26.105,26.105,-4.261,4.261,-4.62,4.62
552,138.0,4250,85.0,-3.86385,-3.6835,-4.51435,2.07725,3.03242,-22.1359,-26.242,26.242,-4.24,4.24,-4.622,4.622
553,138.25,1649,33.0,-5.2876,-4.00098,-3.86684,-3.6601,-3.93186,-0.9577,-26.38,26.38,-4.219,4.219,-4.617,4.617
554,138.5,2717,55.0,-9.49914,-2.77665,-2.38072,-0.558897,1.73715,-16.7087,-26.518,26.518,-4.199,4.199,-4.608,4.608
555,138.75,2742,55.0,-6.11462,-2.42722,-4.28629,-4.37381,0.982583,-37.2115,-26.657,26.657,-4.178,4.178,-4.583,4.583
556,139.0,2742,55.0,-6.16053,-2.64653,-4.32828,-0.335663,2.46925,-40.6457,-26.797,26.797,-4.158,4.158,-4.546,4.546
557,139.25,1665,34.0,1.13731,-3.81866,-3.56714,-3.16117,3.19075,-29.7861,-26.937,26.937,-4.138,4.138,-4.516,4.516
558,139.5,2742,55.0,-6.33005,-2.39022,-4.15946,0.792236,2.37414,30.4959,-27.078,27.078,-4.118,4.118,-4.511,4.511
559,139.75,2742,55.0,-6.01379,-2.38012,-4.07602,1.43781,-0.416255,-5.52942,-27.219,27.219,-4.098,4.098,-4.53,4.53
560,140.0,2742,55.0,-6.09389,-2.67406,-4.02079,-1.66509,1.28471,8.0724,-27.361,27.361,-4.078,4.078,-4.566,4.566
561,140.25,272,6.0,-10.9036,-2.15672,-2.58345,0.647703,1.5775,27.6391,-27.504,27.504,-4.058,4.058,-4.585,4.585
562,140.5,272,6.0,-11.3413,-2.08752,-2.37153,4.22895,-5.46692,24.2815,-27.647,27.647,-4.038,4.038,-4.583,4.583
563,140.75,3277,66.0,-6.71505,-3.99522,-2.64013,0.56115,1.88126,4.82399,-27.791,27.791,-4.018,4.018,-4.579,4.579
564,141.0,1682,34.0,-4.25829,-2.52981,-4.54062,-1.74359,-3.92888,-32.3431,-27.936,27.936,-3.999,3.999,-4.578,4.578
565,141.25,2711,55.0,-8.41716,-2.24988,-3.33394,-0.32049,4.62416,22.0411,-28.081,28.081,-3.979,3.979,-4.579,4.579
566,141.5,2711,55.0,-8.39879,-2.20506,-3.12399,-1.82193,0.326065,15.6459,-28.227,28.227,-3.96,3.96,-4.591,4.591
567,141.75,2711,55.0,-8.48085,-2.34796,-3.05608,1.6071,-0.371708,12.221,-28.373,28.373,-3.94,3.94,-4.593,4.593
568,142.0,2711,55.0,-8.72422,-2.21592,-2.68305,-0.545958,-2.76909,56.6693,-28.521,28.521,-3.921,3.921,-4.603,4.603
569,142.25,2711,55.0,-8.95942,-2.20221,-2.61119,3.8049,-7.521,19.2498,-28.668,28.668,-3.902,3.902,-4.611,4.611
570,142.5,2711,55.0,-8.80147,-2.0581,-2.65716,3.60702,5.54688,13.2539,-28.817,28.817,-3.883,3.883,-4.617,4.617
571,142.75,1841,37.0,-1.02844,-3.19336,-4.26701,-1.04689,-0.0508965,-5.00718,-28.966,28.966,-3.864,3.864,-4.625,4.625
572,143.0,1841,37.0,-0.956,-3.29364,-4.26924,0.377944,1.29889,-18.9623,-29.116,29.116,-3.845,3.845,-4.64,4.64
573,143.25,2745,55.0,-5.08472,-2.35418,-3.10431,0.152469,2.55398,7.67057,-29.267,29.267,-3.826,3.826,-4.647,4.647
574,143.5,2745,55.0,-5.10459,-2.57296,-2.98659,4.59089,-4.05475,-3.36697,-29.418,29.418,-3.807,3.807,-4.639,4.639
575,143.75,2745,55.0,-5.15819,-3.03088,-2.8333,-2.39109,-2.49002,3.30876,-29.57,29.57,-3.789,3.789,-4.637,4.637
576,144.0,2745,55.0,-5.41462,-3.39744,-2.81829,-2.44295,1.26054,28.3559,-29.722,29.722,-3.77,3.77,-4.646,4.646
577,144.25,2745,55.0,-5.69388,-3.16963,-2.53084,-1.32823,-2.61956,28.9948,-29.876,29.876,-3.752,3.752,-4.653,4.653
578,144.5,2572,52.0,-6.8198,-7.37548,-3.00327,1.79485,-2.85285,3.957,-8.421,8.421,-8.36,8.36,-4.662,4.662
579,144.75,2572,52.0,-6.9399,-7.40086,-3.00792,-3.11857,-1.55163,0.598391,-8.515,8.515,-8.341,8.341,-4.663,4.663
580,145.0,2572,52.0,-6.94893,-7.50726,-3.4,-5.98364,1.17556,12.5464,-8.609,8.609,-8.321,8.321,-4.67,4.67
581,145.25,2572,52.0,-7.18141,-7.55076,-3.54947,0.80947,-0.00888226,24.7717,-8.702,8.702,-8.302,8.302,-4.68,4.68
582,145.5,2572,52.0,-7.38269,-7.60001,-3.26143,1.67279,-3.36229,26.1178,-8.796,8.796,-8.282,8.282,-4.673,4.673
583,145.75,2572,52.0,-7.20856,-7.38505,-3.06616,7.83022,-5.15501,-29.8552,-8.89,8.89,-8.262,8.262,-4.669,4.669
584,146.0,2572,52.0,-6.82352,-7.23706,-3.11356,-1.61223,2.05564,17.7758,-8.984,8.984,-8.241,8.241,-4.651,4.651
585,146.25,2572,52.0,-6.821,-7.27471,-3.03889,-1.25915,1.6998,-5.90229,-9.077,9.077,-8.221,8.221,-4.615,4.615
586,146.5,2572,52.0,-6.79965,-7.28067,-2.99657,4.16444,3.8338,-12.0323,-9.171,9.171,-8.2,8.2,-4.586,4.586
587,146.75,2572,52.0,-6.56069,-7.48701,-3.0949,-0.576354,2.21292,18.4218,-9.265,9.265,-8.179,8.179,-4.57,4.57
588,147.0,2572,52.0,-6.66919,-7.63028,-3.2673,1.24096,1.47445,-23.4647,-9.359,9.359,-8.157,8.157,-4.572,4.572
589,147.25,2572,52.0,-6.67122,-7.75746,-3.54982,-4.43017,-4.47805,-37.2324,-9.453,9.453,-8.136,8.136,-4.57,4.57
590,147.5,2572,52.0,-6.62399,-7.83116,-3.06365,2.45414,-2.59737,121.032,-9.547,9.547,-8.114,8.114,-4.57,4.57
591,147.75,2572,52.0,-6.50949,-7.67875,-2.73717,3.1051,-1.18238,-110.849,-9.641,9.641,-8.092,8.092,-4.585,4.585
